check,actual,expected,pass
http_status,200,200,True
provider_history_days,14,14,True
feature_order_builder,"[""rr"", ""rain3"", ""rain7"", ""rain14"", ""rh_avg"", ""temp_range"", ""rainfall_anomaly"", ""month"", ""day_of_year""]","[""rr"", ""rain3"", ""rain7"", ""rain14"", ""rh_avg"", ""temp_range"", ""rainfall_anomaly"", ""month"", ""day_of_year""]",True
feature_order_rf,"[""rr"", ""rain3"", ""rain7"", ""rain14"", ""rh_avg"", ""temp_range"", ""rainfall_anomaly"", ""month"", ""day_of_year""]","[""rr"", ""rain3"", ""rain7"", ""rain14"", ""rh_avg"", ""temp_range"", ""rainfall_anomaly"", ""month"", ""day_of_year""]",True
feature_vector_to_rf,"{""rr"": 14.0, ""rain3"": 41.0, ""rain7"": 73.0, ""rain14"": 123.0, ""rh_avg"": 83.0, ""temp_range"": 8.0, ""rainfall_anomaly"": 62.0, ""month"": 1.0, ""day_of_year"": 14.0}","{""rr"": 14.0, ""rain3"": 41.0, ""rain7"": 73.0, ""rain14"": 123.0, ""rh_avg"": 83.0, ""temp_range"": 8.0, ""rainfall_anomaly"": 62.0, ""month"": 1.0, ""day_of_year"": 14.0}",True
api_fri_matches_direct,56.54,56.54,True
api_risk_matches_direct,"""Risiko Sedang""","""Risiko Sedang""",True
api_history_count,13,13,True
api_weather_rr,14.0,14.0,True
