city,tanggal,rr,rain3,rain7,rain14,rh_avg,temp_range,rainfall_anomaly,month,day_of_year,fri,risk
Jambi,2026-07-02,0.0,,,,42.0,,,,,6.08,Risiko Rendah
Yogyakarta,2026-07-02,0.0,,,,77.0,,,,,12.25,Risiko Rendah
Padang,2026-07-02,3.1,,,,86.0,,,,,49.11,Risiko Sedang
Pekanbaru,2026-07-02,0.8,,,,85.0,,,,,49.96,Risiko Sedang
Bandung,2026-07-02,0.1,,,,66.0,,,,,12.4,Risiko Rendah
Semarang,2026-07-02,0.0,,,,61.0,,,,,11.24,Risiko Rendah
Palembang,2026-07-02,0.0,,,,70.0,,,,,18.13,Risiko Rendah
Bogor,2026-07-02,0.1,,,,61.0,,,,,9.2,Risiko Rendah
Jakarta,2026-07-02,1.6,,,,60.0,,,,,17.89,Risiko Rendah
Medan,2026-07-02,9.7,,,,87.0,,,,,54.84,Risiko Sedang
Banjarmasin,2026-07-02,4.6,,,,83.0,,,,,35.98,Risiko Sedang
Pontianak,2026-07-02,0.2,,,,82.0,,,,,37.52,Risiko Sedang
Kupang,2026-07-02,0.5,,,,71.0,,,,,12.71,Risiko Rendah
Mataram,2026-07-02,0.8,,,,70.0,,,,,8.34,Risiko Rendah
Denpasar,2026-07-02,0.0,,,,74.0,,,,,15.86,Risiko Rendah
Surabaya,2026-07-02,0.0,,,,62.0,,,,,12.88,Risiko Rendah
Manado,2026-07-02,0.1,,,,63.0,,,,,18.93,Risiko Rendah
Makassar,2026-07-02,0.0,,,,66.0,,,,,14.16,Risiko Rendah
Malang,2026-07-02,0.0,,,,72.0,,,,,7.9,Risiko Rendah
Jayapura,2026-07-02,3.6,,,,86.0,,,,,42.33,Risiko Sedang
Balikpapan,2026-07-02,2.8,,,,80.0,,,,,40.33,Risiko Sedang
Ambon,2026-07-02,5.0,,,,91.0,,,,,46.59,Risiko Sedang
Palu,2026-07-02,0.7,,,,79.0,,,,,28.15,Risiko Rendah
Ternate,2026-07-02,0.9,,,,78.0,,,,,19.72,Risiko Rendah
Binjai,2026-07-02,9.6,,,,90.0,,,,,56.2,Risiko Sedang
Tidore,2026-07-02,3.9,,,,83.0,,,,,37.86,Risiko Sedang
Manokwari,2026-07-02,4.9,,,,86.0,,,,,44.43,Risiko Sedang
Banda Aceh,2026-07-02,1.3,,,,73.0,,,,,32.57,Risiko Rendah
Padangsidimpuan,2026-07-02,0.4,,,,91.0,,,,,38.86,Risiko Sedang
Sorong,2026-07-02,12.9,,,,92.0,,,,,52.97,Risiko Sedang
Sibolga,2026-07-02,0.5,,,,86.0,,,,,44.69,Risiko Sedang
Pematangsiantar,2026-07-02,6.8,,,,85.0,,,,,55.83,Risiko Sedang
Lhokseumawe,2026-07-02,1.2,,,,86.0,,,,,49.39,Risiko Sedang
Sinabang,2026-07-02,3.1,,,,84.0,,,,,50.68,Risiko Sedang
Meulaboh,2026-07-02,1.3,,,,83.0,,,,,51.54,Risiko Sedang
Gunungsitoli,2026-07-02,3.3,,,,85.0,,,,,48.41,Risiko Sedang
Tanjung Pinang,2026-07-02,4.4,,,,79.0,,,,,34.88,Risiko Sedang
Sabang,2026-07-02,1.3,,,,73.0,,,,,32.08,Risiko Rendah
Takengon,2026-07-02,0.2,,,,82.0,,,,,36.25,Risiko Sedang
Langsa,2026-07-02,3.0,,,,89.0,,,,,52.92,Risiko Sedang
Batam,2026-07-02,3.3,,,,82.0,,,,,45.23,Risiko Sedang
Tanjungbalai,2026-07-02,5.7,,,,89.0,,,,,60.77,Risiko Sedang
Lubuklinggau,2026-07-02,0.9,,,,84.0,,,,,43.95,Risiko Sedang
Pagar Alam,2026-07-02,1.3,,,,82.0,,,,,30.93,Risiko Rendah
Lahat,2026-07-02,5.4,,,,83.0,,,,,31.54,Risiko Rendah
Palembang,2026-07-02,0.0,,,,70.0,,,,,18.13,Risiko Rendah
Bengkulu,2026-07-02,0.3,,,,78.0,,,,,34.43,Risiko Sedang
Prabumulih,2026-07-02,0.8,,,,74.0,,,,,20.61,Risiko Rendah
Muara Enim,2026-07-02,3.0,,,,87.0,,,,,40.08,Risiko Sedang
Curup,2026-07-02,16.9,,,,92.0,,,,,57.41,Risiko Sedang
